,Date,Value,ValueNew
165,2016-11-13,,28.054285714285715
166,2016-11-14,27.88,27.88
167,2016-11-15,,27.84
168,2016-11-16,,27.8
169,2016-11-17,,27.76
170,2016-11-18,,27.72
171,2016-11-19,,27.68
172,2016-11-20,,27.64
173,2016-11-21,27.6,27.6
174,2016-11-22,,27.748823529411766
175,2016-11-23,,27.89764705882353
176,2016-11-24,,28.046470588235294
177,2016-11-25,,28.19529411764706
178,2016-11-26,,28.344117647058823
179,2016-11-27,,28.492941176470588
180,2016-11-28,,28.641764705882352
181,2016-11-29,,28.790588235294116
182,2016-11-30,,28.939411764705884
183,2016-12-01,,29.08823529411765
184,2016-12-02,,29.237058823529413
185,2016-12-03,,29.385882352941177
186,2016-12-04,,29.53470588235294
187,2016-12-05,,29.683529411764706
188,2016-12-06,,29.83235294117647
189,2016-12-07,,29.981176470588235
190,2016-12-08,30.13,30.13
191,2016-12-09,,28.345
192,2016-12-10,,26.56
193,2016-12-11,,24.775
194,2016-12-12,22.99,22.99
195,2016-12-13,,22.57875
196,2016-12-14,,22.167499999999997
197,2016-12-15,,21.756249999999998
198,2016-12-16,,21.345
199,2016-12-17,,20.93375
200,2016-12-18,,20.5225
201,2016-12-19,,20.11125
202,2016-12-20,19.7,19.7
203,2016-12-21,,21.285
204,2016-12-22,22.87,22.87
205,2016-12-23,,22.87464285714286
206,2016-12-24,,22.879285714285714
207,2016-12-25,,22.883928571428573
208,2016-12-26,,22.888571428571428
209,2016-12-27,,22.893214285714286
210,2016-12-28,,22.897857142857145
211,2016-12-29,,22.9025
212,2016-12-30,,22.90714285714286
213,2016-12-31,,22.911785714285713
214,2017-01-01,,22.916428571428572
215,2017-01-02,,22.92107142857143
216,2017-01-03,,22.925714285714285
217,2017-01-04,,22.930357142857144
218,2017-01-05,,22.935000000000002
219,2017-01-06,,22.939642857142857
220,2017-01-07,,22.944285714285716
221,2017-01-08,,22.94892857142857
222,2017-01-09,,22.95357142857143
223,2017-01-10,,22.958214285714288
224,2017-01-11,,22.962857142857143
225,2017-01-12,,22.9675
226,2017-01-13,,22.972142857142856
227,2017-01-14,,22.976785714285715
228,2017-01-15,,22.981428571428573
229,2017-01-16,,22.986071428571428
230,2017-01-17,,22.990714285714287
231,2017-01-18,,22.99535714285714
232,2017-01-19,23.0,23.0
233,2017-01-20,,22.333333333333332
234,2017-01-21,,21.666666666666668
235,2017-01-22,,21.0
236,2017-01-23,,20.333333333333332
237,2017-01-24,,19.666666666666668
238,2017-01-25,19.0,19.0
239,2017-01-26,,19.5
240,2017-01-27,,20.0
241,2017-01-28,,20.5
242,2017-01-29,,21.0
243,2017-01-30,,21.5
244,2017-01-31,22.0,22.0
245,2017-02-01,,23.0
246,2017-02-02,24.0,24.0
247,2017-02-03,,24.09090909090909
248,2017-02-04,,24.181818181818183
249,2017-02-05,,24.272727272727273
250,2017-02-06,,24.363636363636363
251,2017-02-07,,24.454545454545453
252,2017-02-08,,24.545454545454547
253,2017-02-09,,24.636363636363637
254,2017-02-10,,24.727272727272727
255,2017-02-11,,24.818181818181817
256,2017-02-12,,24.90909090909091
257,2017-02-13,25.0,25.0
258,2017-02-14,,24.470625
259,2017-02-15,,23.94125
260,2017-02-16,,23.411875000000002
261,2017-02-17,,22.8825
262,2017-02-18,,22.353125
263,2017-02-19,,21.82375
264,2017-02-20,,21.294375000000002
265,2017-02-21,,20.765
266,2017-02-22,,20.235625
267,2017-02-23,,19.70625
268,2017-02-24,,19.176875000000003
269,2017-02-25,,18.6475
270,2017-02-26,,18.118125
271,2017-02-27,,17.58875
272,2017-02-28,,17.059375000000003
273,2017-03-01,16.53,16.53
274,2017-03-02,20.0,20.0
275,2017-03-03,,21.142857142857142
276,2017-03-04,,22.285714285714285
277,2017-03-05,,23.428571428571427
278,2017-03-06,,24.57142857142857
279,2017-03-07,,25.714285714285715
280,2017-03-08,,26.857142857142858
281,2017-03-09,28.0,28.0
282,2017-03-10,,28.428571428571427
283,2017-03-11,,28.857142857142858
284,2017-03-12,,29.285714285714285
285,2017-03-13,,29.714285714285715
286,2017-03-14,,30.142857142857142
287,2017-03-15,,30.57142857142857
288,2017-03-16,31.0,31.0
289,2017-03-17,,30.142857142857142
290,2017-03-18,,29.285714285714285
291,2017-03-19,,28.42857142857143
292,2017-03-20,,27.571428571428573
293,2017-03-21,,26.714285714285715
294,2017-03-22,,25.857142857142858
295,2017-03-23,25.0,25.0
296,2017-03-24,,26.285714285714285
297,2017-03-25,,27.571428571428573
298,2017-03-26,,28.857142857142858
299,2017-03-27,,30.142857142857142
300,2017-03-28,,31.42857142857143
301,2017-03-29,,32.714285714285715
302,2017-03-30,34.0,34.0
303,2017-03-31,,33.0
304,2017-04-01,,32.0
305,2017-04-02,,31.0
306,2017-04-03,,30.0
307,2017-04-04,,29.0
308,2017-04-05,,28.0
309,2017-04-06,27.0,27.0
310,2017-04-07,,29.142857142857142
311,2017-04-08,,31.285714285714285
312,2017-04-09,,33.42857142857143
313,2017-04-10,,35.57142857142857
314,2017-04-11,,37.714285714285715
315,2017-04-12,,39.85714285714286
316,2017-04-13,42.0,42.0
317,2017-04-14,,41.0
318,2017-04-15,,40.0
319,2017-04-16,,39.0
320,2017-04-17,,38.0
321,2017-04-18,,37.0
322,2017-04-19,,36.0
323,2017-04-20,35.0,35.0
324,2017-04-21,,35.214285714285715
325,2017-04-22,,35.42857142857143
326,2017-04-23,,35.642857142857146
327,2017-04-24,,35.857142857142854
328,2017-04-25,,36.07142857142857
329,2017-04-26,,36.285714285714285
330,2017-04-27,,36.5
331,2017-04-28,,36.714285714285715
332,2017-04-29,,36.92857142857143
333,2017-04-30,,37.142857142857146
334,2017-05-01,,37.357142857142854
335,2017-05-02,,37.57142857142857
336,2017-05-03,,37.785714285714285
337,2017-05-04,,38.0
338,2017-05-05,,38.214285714285715
339,2017-05-06,,38.42857142857143
340,2017-05-07,,38.642857142857146
341,2017-05-08,,38.857142857142854
342,2017-05-09,,39.07142857142857
343,2017-05-10,,39.285714285714285
344,2017-05-11,,39.5
345,2017-05-12,,39.714285714285715
346,2017-05-13,,39.92857142857143
347,2017-05-14,,40.14285714285714
348,2017-05-15,,40.357142857142854
349,2017-05-16,,40.57142857142857
350,2017-05-17,,40.785714285714285
351,2017-05-18,41.0,41.0
352,2017-05-19,,41.42857142857143
353,2017-05-20,,41.857142857142854
354,2017-05-21,,42.285714285714285
355,2017-05-22,,42.714285714285715
356,2017-05-23,,43.142857142857146
357,2017-05-24,,43.57142857142857
358,2017-05-25,44.0,44.0
359,2017-05-26,,43.0
360,2017-05-27,,42.0
361,2017-05-28,,41.0
362,2017-05-29,,40.0
363,2017-05-30,,39.0
364,2017-05-31,,38.0
365,2017-06-01,37.0,37.0
366,2017-06-02,,37.142857142857146
367,2017-06-03,,37.285714285714285
368,2017-06-04,,37.42857142857143
369,2017-06-05,,37.57142857142857
370,2017-06-06,,37.714285714285715
371,2017-06-07,,37.857142857142854
372,2017-06-08,38.0,38.0
373,2017-06-09,,38.142857142857146
374,2017-06-10,,38.285714285714285
375,2017-06-11,,38.42857142857143
376,2017-06-12,,38.57142857142857
377,2017-06-13,,38.714285714285715
378,2017-06-14,,38.857142857142854
379,2017-06-15,39.0,39.0
380,2017-06-16,,39.05555555555556
381,2017-06-17,,39.111111111111114
382,2017-06-18,,39.166666666666664
383,2017-06-19,,39.22222222222222
384,2017-06-20,,39.27777777777778
385,2017-06-21,,39.333333333333336
386,2017-06-22,,39.388888888888886
387,2017-06-23,,39.44444444444444
388,2017-06-24,,39.5
389,2017-06-25,,39.55555555555556
390,2017-06-26,,39.611111111111114
391,2017-06-27,,39.666666666666664
392,2017-06-28,,39.72222222222222
393,2017-06-29,,39.77777777777778
394,2017-06-30,,39.833333333333336
395,2017-07-01,,39.888888888888886
396,2017-07-02,,39.94444444444444
397,2017-07-03,40.0,40.0
398,2017-07-04,,40.42857142857143
399,2017-07-05,,40.857142857142854
400,2017-07-06,,41.285714285714285
401,2017-07-07,,41.714285714285715
402,2017-07-08,,42.142857142857146
403,2017-07-09,,42.57142857142857
404,2017-07-10,43.0,43.0
405,2017-07-11,,43.142857142857146
406,2017-07-12,,43.285714285714285
407,2017-07-13,,43.42857142857143
408,2017-07-14,,43.57142857142857
409,2017-07-15,,43.714285714285715
410,2017-07-16,,43.857142857142854
411,2017-07-17,44.0,44.0
412,2017-07-18,,43.285714285714285
413,2017-07-19,,42.57142857142857
414,2017-07-20,,41.857142857142854
415,2017-07-21,,41.142857142857146
416,2017-07-22,,40.42857142857143
417,2017-07-23,,39.714285714285715
418,2017-07-24,39.0,39.0
419,2017-07-25,,39.42857142857143
420,2017-07-26,,39.857142857142854
421,2017-07-27,,40.285714285714285
422,2017-07-28,,40.714285714285715
423,2017-07-29,,41.142857142857146
424,2017-07-30,,41.57142857142857
425,2017-07-31,42.0,42.0
426,2017-08-01,,41.714285714285715
427,2017-08-02,,41.42857142857143
428,2017-08-03,,41.142857142857146
429,2017-08-04,,40.857142857142854
430,2017-08-05,,40.57142857142857
431,2017-08-06,,40.285714285714285
432,2017-08-07,40.0,40.0
433,2017-08-08,,40.142857142857146
434,2017-08-09,,40.285714285714285
435,2017-08-10,,40.42857142857143
436,2017-08-11,,40.57142857142857
